term,tf,idf,tf_idf
jauhwafat,1,9.837828403729853,9.837828403729853
terimakasih,1,3.5370426090666096,3.5370426090666096
sebal,1,6.372092500930127,6.372092500930127
dah,1,6.403841199244708,6.403841199244708
butuh,1,4.639331372464028,4.639331372464028
sengaja,1,6.50562389355465,6.50562389355465
ribet,1,3.183675883546635,3.183675883546635
terdaftaf,1,9.837828403729853,9.837828403729853
lupa,1,3.864018791860593,3.864018791860593
fast,1,6.842096130175863,6.842096130175863
respon,1,5.326968897213003,5.326968897213003
bagus,1,2.038895093688637,2.038895093688637
bagus,1,2.038895093688637,2.038895093688637
rapi,1,8.739216115061744,8.739216115061744
bagus,1,2.038895093688637,2.038895093688637
mudah,1,1.9811216106340133,1.9811216106340133
mantap,1,2.6426410835511454,2.6426410835511454
jiwa,1,7.758386862050018,7.758386862050018
antri,1,3.258577191719753,3.258577191719753
satuselalu,1,9.837828403729853,9.837828403729853
gagal,1,3.8119624299045394,3.8119624299045394
bilang,1,4.8271931096335985,4.8271931096335985
bisahadehh,1,9.837828403729853,9.837828403729853
alhamdulillah,1,4.340660178436652,4.340660178436652
bantu,1,1.8754127236087899,1.8754127236087899
syukur,1,8.228390491295754,8.228390491295754
terimakasih,1,3.5370426090666096,3.5370426090666096
terimakasih,1,3.5370426090666096,3.5370426090666096
bantu,1,1.8754127236087899,1.8754127236087899
mudah,1,1.9811216106340133,1.9811216106340133
layan,1,2.838405936221893,2.838405936221893
lengkap,1,5.603721899132594,5.603721899132594
tingkat,1,4.549561373035319,4.549561373035319
mantap,1,2.6426410835511454,2.6426410835511454
sempurna,1,7.004615059673638,7.004615059673638
bug,1,5.18386805357233,5.18386805357233
sok,1,6.746785950371538,6.746785950371538
bad,1,8.228390491295754,8.228390491295754
mantap,1,2.6426410835511454,2.6426410835511454
aduh,1,6.702334187800704,6.702334187800704
antri,1,3.258577191719753,3.258577191719753
bagus,1,2.038895093688637,2.038895093688637
bantu,1,1.8754127236087899,1.8754127236087899
bantu,1,1.8754127236087899,1.8754127236087899
kebijakaannya,1,9.837828403729853,9.837828403729853
rubah,1,5.174389309617787,5.174389309617787
screenshoot,1,6.618952578861653,6.618952578861653
layar,1,6.174266757600208,6.174266757600208
susah,1,2.5326401883368166,2.5326401883368166
asih,1,6.50562389355465,6.50562389355465
antri,1,3.258577191719753,3.258577191719753
tua,1,5.033807358996597,5.033807358996597
layan,1,2.838405936221893,2.838405936221893
susah,2,2.5326401883368166,5.065280376673633
ampunaplikasi,1,9.837828403729853,9.837828403729853
sampah,1,4.840616129965738,4.840616129965738
mantap,1,2.6426410835511454,2.6426410835511454
cepat,1,3.292478743395434,3.292478743395434
bantu,1,1.8754127236087899,1.8754127236087899
pesertapasien,1,9.837828403729853,9.837828403729853
sulit,3,3.1746957077390507,9.524087123217152
paham,1,5.174389309617787,5.174389309617787
nomornomor,1,9.837828403729853,9.837828403729853
sedia,1,6.031165913959534,6.031165913959534
telepon,1,5.507095063443523,5.507095063443523
temu,1,6.618952578861653,6.618952578861653
solusi,1,5.042037858133113,5.042037858133113
bagus,1,2.038895093688637,2.038895093688637
bagus,1,2.038895093688637,2.038895093688637
oke,1,3.9572954173291532,3.9572954173291532
bantu,1,1.8754127236087899,1.8754127236087899
puas,1,4.633821716653058,4.633821716653058
mudah,1,1.9811216106340133,1.9811216106340133
